model,pct,gamma,n_features,seed,accuracy,precision,recall,f1_score,specificity,balanced_accuracy,timestamp
knn,25,6.0,0,101,0.9718677224033534,0.9900856793145655,0.9335548172757475,0.9605884886254243,0.9944053208137715,0.9639800690447595,08/11/2025 15:42:15
knn,25,6.0,1,101,0.9630802670392796,0.9798525394160824,0.9196013289036544,0.9484970894791237,0.988849765258216,0.9542255470809351,08/11/2025 15:42:20
knn,25,6.0,2,101,0.9525384257102933,0.9790823211875843,0.8911406423034329,0.9327517032801586,0.9888888888888889,0.9400147655961609,08/11/2025 15:42:24
knn,25,6.0,3,101,0.9630647414997672,0.9947368421052631,0.9054263565891473,0.9476899748850969,0.9972222222222221,0.9513242894056848,08/11/2025 15:42:29
knn,25,6.0,4,101,0.9666045645086166,0.9948717948717949,0.9149501661129568,0.953136318664774,0.9972222222222221,0.9560861941675896,08/11/2025 15:42:33
knn,25,6.0,5,101,0.9666045645086168,0.9948717948717949,0.9148394241417497,0.9528870544021067,0.9972222222222221,0.9560308231819861,08/11/2025 15:42:37
knn,25,6.0,6,101,0.9665890389691041,0.9898717948717948,0.9196013289036543,0.9531309568411311,0.9944444444444445,0.9570228866740494,08/11/2025 15:42:42
knn,25,6.0,7,101,0.9683434249340165,0.9898717948717948,0.924252491694352,0.9556581387394563,0.9944444444444445,0.9593484680693983,08/11/2025 15:42:47
knn,25,6.0,8,101,0.9648346530041918,0.9898717948717948,0.914950166112957,0.9507821642532761,0.9944444444444445,0.9546973052787007,08/11/2025 15:42:52
knn,25,6.0,9,101,0.9648346530041918,0.9898717948717948,0.914950166112957,0.9507821642532761,0.9944444444444445,0.9546973052787007,08/11/2025 15:42:55
knn,25,6.0,10,101,0.9613103555348548,0.9850968885628706,0.910188261351052,0.9455715478623465,0.9916275430359939,0.9509079021935228,08/11/2025 15:43:01
knn,25,6.0,11,101,0.9613103555348548,0.9850653830234091,0.9100775193798448,0.945257689613719,0.9916275430359939,0.9508525312079193,08/11/2025 15:43:06
knn,25,6.0,12,101,0.9595714951094549,0.9848717948717949,0.9055370985603544,0.9433769335744634,0.9916666666666668,0.9486018826135105,08/11/2025 15:43:11
knn,25,6.0,13,101,0.9560627231796305,0.9797373358348969,0.9007751937984496,0.938432235437484,0.988849765258216,0.9448124795283327,08/11/2025 15:43:16
knn,25,6.0,14,101,0.9525539512498058,0.9656542967436481,0.9053156146179402,0.9339907900708665,0.980399061032864,0.942857337825402,08/11/2025 15:43:20
knn,25,6.0,15,101,0.9507995652848937,0.9603046076730287,0.9054263565891473,0.9318409586056646,0.9775821596244132,0.9415042581067802,08/11/2025 15:43:25
knn,25,6.0,16,101,0.9543083372147182,0.9651718523587647,0.9100775193798449,0.9365442352651655,0.980399061032864,0.9452382902063544,08/11/2025 15:43:30
knn,25,6.0,17,101,0.9525694767893184,0.9698879044432378,0.9005537098560354,0.9334523459074534,0.9832159624413146,0.941884836148675,08/11/2025 15:43:34
knn,25,6.0,18,101,0.9490451793199813,0.9607028615372645,0.9005537098560353,0.929039759137242,0.9776212832550861,0.9390874965555607,08/11/2025 15:43:39
knn,25,6.0,19,101,0.9385343890700202,0.9487987197147719,0.8816168327796234,0.9131335312447055,0.9720657276995306,0.9268412802395769,08/11/2025 15:43:44
knn,25,6.0,20,101,0.9314857941313461,0.9382347127982558,0.8722037652270209,0.9035399488125456,0.9664710485133021,0.9193374068701615,08/11/2025 15:43:49
knn,25,6.0,21,101,0.9209594783418724,0.922245552906657,0.8580287929125138,0.8885216337942307,0.9580985915492958,0.9080636922309047,08/11/2025 15:43:54
knn,25,6.0,22,101,0.9227138643067848,0.9267819172697221,0.8581395348837211,0.8905927255520754,0.9608372456964007,0.9094883902900607,08/11/2025 15:43:59
knn,25,6.0,23,101,0.9138798323241734,0.9080678227048052,0.853266888150609,0.8790513513712606,0.9496087636932706,0.9014378259219399,08/11/2025 15:44:04
knn,25,6.0,24,101,0.9085856233504114,0.9031602496576971,0.8438538205980066,0.8717503843047425,0.9467527386541471,0.8953032796260768,08/11/2025 15:44:08
knn,25,6.0,25,101,0.903369042074212,0.8912721726797613,0.8439645625692138,0.8655274881036753,0.938341158059468,0.8911528603143409,08/11/2025 15:44:13
knn,25,6.0,26,101,0.8910572892408011,0.8682090637311936,0.8344407530454042,0.8502525290508685,0.9244131455399061,0.8794269492926551,08/11/2025 15:44:18
knn,25,6.0,27,101,0.8892718521968639,0.8638703465982027,0.8345514950166113,0.8485131530238789,0.9215571205007824,0.878054307758697,08/11/2025 15:44:22
knn,25,6.0,28,101,0.8734668529731409,0.8403165351203526,0.8155038759689921,0.8264448771460355,0.9075508607198748,0.8615273683444336,08/11/2025 15:44:27
knn,25,6.0,29,101,0.880453345753765,0.8513244627862979,0.8296788482834995,0.8374539195744015,0.9102503912363067,0.869964619759903,08/11/2025 15:44:33
knn,25,6.0,30,101,0.8787610619469026,0.8489892715979673,0.8202657807308971,0.8328340308705318,0.9131846635367762,0.8667252221338366,08/11/2025 15:44:37
logistic,25,6.0,0,101,0.9771308802980903,0.9813953488372092,0.9573643410852715,0.9688215515962619,0.988849765258216,0.9731070531717437,08/11/2025 15:41:48
logistic,25,6.0,1,101,0.952553951249806,0.9605018808201182,0.9100775193798449,0.9342963300738039,0.9775821596244132,0.943829839502129,08/11/2025 15:41:59
logistic,25,6.0,2,101,0.9578171091445427,0.9582423122978992,0.9290143964562569,0.9427731472440541,0.9747261345852894,0.9518702655207733,08/11/2025 15:42:10
logistic,25,6.0,3,101,0.9490762303990063,0.9490641058162355,0.9148394241417497,0.9305225206674888,0.9690923317683883,0.9419658779550689,08/11/2025 15:42:20
logistic,25,6.0,4,101,0.94027324949542,0.9341295362560083,0.9054263565891473,0.9188282035635627,0.9607589984350549,0.9330926775121011,08/11/2025 15:42:29
logistic,25,6.0,5,101,0.9455053563111319,0.9340556840273232,0.9197120708748617,0.9263782459152173,0.9607589984350549,0.9402355346549582,08/11/2025 15:42:40
logistic,25,6.0,6,101,0.9419965843813072,0.929972584609567,0.9150609080841641,0.9220128354817471,0.957942097026604,0.936501502555384,08/11/2025 15:42:49
logistic,25,6.0,7,101,0.9261760596180716,0.9394680435072111,0.8584717607973422,0.8963975405949144,0.9664710485133021,0.9124714046553221,08/11/2025 15:42:57
logistic,25,6.0,8,101,0.9015370284117374,0.891293070073558,0.8396456256921374,0.8638804855553295,0.9384585289514866,0.8890520773218119,08/11/2025 15:43:05
logistic,25,6.0,9,101,0.9051079024996118,0.9074404761904763,0.8306755260243632,0.8652091851727468,0.9496478873239436,0.8901617066741535,08/11/2025 15:43:11
logistic,25,6.0,10,101,0.8963359726750506,0.8941882973647013,0.8209302325581394,0.8546013527362165,0.9412363067292645,0.881083269643702,08/11/2025 15:43:16
logistic,25,6.0,11,101,0.8822698338767273,0.8798874779658133,0.7972314507198227,0.8352503402862081,0.9330203442879499,0.8651258975038865,08/11/2025 15:43:20
logistic,25,6.0,12,101,0.8787610619469026,0.8728204561176698,0.792580287929125,0.8295290887973813,0.9301643192488263,0.8613723035889758,08/11/2025 15:43:25
logistic,25,6.0,13,101,0.8770066759819904,0.8821550671550671,0.773421926910299,0.8236856073842798,0.9384976525821596,0.8559597897462293,08/11/2025 15:43:30
