model,pct,gamma,n_features,seed,accuracy,precision,recall,f1_score,specificity,balanced_accuracy,timestamp
svm,0,3.0,4,101,0.9771464058376027,0.9765173000567214,0.9621262458471762,0.9691242257073405,0.9860328638497652,0.9740795548484706,08/11/2025 16:16:15
svm,1,3.0,4,101,0.9736065828287532,0.9716392512762336,0.9574750830564784,0.9643643952397435,0.9832159624413146,0.9703455227488964,08/11/2025 16:16:19
svm,2,3.0,4,101,0.9736221083682658,0.9763953488372092,0.9527131782945737,0.9641880802235813,0.9860328638497652,0.9693730210721695,08/11/2025 16:16:22
svm,3,3.0,4,101,0.9771464058376029,0.9807146908678389,0.9574750830564784,0.9689001854594459,0.9888106416275431,0.9731428623420108,08/11/2025 16:16:27
svm,4,3.0,4,101,0.9771464058376027,0.9761850741431003,0.9622369878183832,0.9690723024990326,0.9860328638497652,0.9741349258340742,08/11/2025 16:16:32
svm,5,3.0,4,101,0.9771308802980905,0.9761850741431003,0.9622369878183832,0.9690723024990326,0.9859937402190923,0.9741153640187378,08/11/2025 16:16:36
svm,6,3.0,4,101,0.9701133364384411,0.9624584717607974,0.9574750830564784,0.9598306299263891,0.9776604068857591,0.9675677449711186,08/11/2025 16:16:40
svm,7,3.0,4,101,0.9754075454122031,0.9678351295140859,0.9667774086378739,0.9670374205835994,0.9804381846635369,0.9736077966507052,08/11/2025 16:16:44
svm,8,3.0,4,101,0.9631113181183046,0.9621544715447155,0.9383167220376523,0.9497058977762854,0.9776604068857591,0.9579885644617055,08/11/2025 16:16:48
svm,9,3.0,4,101,0.9613569321533924,0.9628571428571429,0.9337763012181617,0.9475851952490213,0.9776604068857591,0.9557183540519603,08/11/2025 16:16:51
svm,10,3.0,4,101,0.9613414066138798,0.9580848861283645,0.9385382059800664,0.9476210758549211,0.9747652582159624,0.9566517320980145,08/11/2025 16:16:54
svm,11,3.0,4,101,0.9525384257102936,0.9487991718426502,0.9242524916943522,0.935684051722775,0.9692097026604068,0.9467310971773795,08/11/2025 16:16:58
svm,12,3.0,4,101,0.9525384257102936,0.9537234042553191,0.9196013289036544,0.935356820234869,0.9719483568075118,0.9457748428555831,08/11/2025 16:17:01
svm,13,3.0,4,101,0.9613569321533924,0.9637234042553192,0.9336655592469546,0.9475777519679959,0.9775821596244132,0.955623859435684,08/11/2025 16:17:05
svm,14,3.0,4,101,0.9666200900481291,0.964769915883226,0.947951273532669,0.955325241207594,0.9775821596244132,0.9627667165785411,08/11/2025 16:17:08
svm,15,3.0,4,101,0.9613569321533924,0.9591791760649192,0.9385382059800664,0.9479899658573375,0.9748043818466353,0.9566712939133509,08/11/2025 16:17:11
svm,16,3.0,4,101,0.9613724576929048,0.9588469501512981,0.9385382059800664,0.9479983160808958,0.9748043818466353,0.9566712939133509,08/11/2025 16:17:15
svm,17,3.0,4,101,0.9648812296227295,0.9638536092135441,0.9431893687707641,0.9526922585790786,0.9775430359937403,0.9603662023822522,08/11/2025 16:17:17
svm,18,3.0,4,101,0.9613724576929048,0.9632358069085758,0.9337763012181618,0.9475766930504731,0.9775430359937403,0.9556596686059509,08/11/2025 16:17:20
svm,19,3.0,4,101,0.9613103555348548,0.9457751104689954,0.9527131782945737,0.948827513820509,0.9662754303599375,0.9594943043272555,08/11/2025 16:17:24
svm,20,3.0,4,101,0.968390001552554,0.955946978905005,0.9621262458471762,0.958333447857739,0.9719483568075118,0.9670373013273439,08/11/2025 16:17:27
svm,21,3.0,4,101,0.9666356155876417,0.9558250276854927,0.9573643410852715,0.9558062659594139,0.9719483568075118,0.9646563489463915,08/11/2025 16:17:30
svm,22,3.0,4,101,0.9631113181183046,0.9504150640113881,0.9527131782945737,0.9510622366840888,0.9691314553990612,0.9609223168468173,08/11/2025 16:17:34
svm,23,3.0,4,101,0.9701288619779536,0.9716446533236096,0.9479512735326688,0.959293786441447,0.9831768388106417,0.9655640561716552,08/11/2025 16:17:37
svm,24,3.0,4,101,0.95960254618848,0.943073224752181,0.9528239202657808,0.9469723194443297,0.9634976525821596,0.9581607864239702,08/11/2025 16:17:40
svm,25,3.0,4,101,0.9613569321533924,0.9566666666666667,0.9431893687707641,0.9486302695934036,0.9719092331768389,0.9575493009738014,08/11/2025 16:17:44
svm,26,3.0,4,101,0.9648657040832168,0.9625382747333967,0.9435215946843855,0.9527534624862539,0.9775430359937403,0.9605323153390628,08/11/2025 16:17:48
svm,27,3.0,4,101,0.9578636857630803,0.9533875338753386,0.933997785160576,0.9433199379717158,0.9719874804381847,0.9529926327993803,08/11/2025 16:17:52
svm,28,3.0,4,101,0.9560937742586555,0.9490902051877661,0.933997785160576,0.941077441077441,0.9692097026604071,0.9516037439104913,08/11/2025 16:17:54
svm,29,3.0,4,101,0.9561092997981679,0.9451093268696662,0.9387596899224807,0.9415605239411418,0.9663536776212833,0.9525566837718819,08/11/2025 16:17:58
svm,30,3.0,4,101,0.9613569321533924,0.9574418604651163,0.9385382059800665,0.9475890892059855,0.9748435054773082,0.9566908557286873,08/11/2025 16:18:01
svm,31,3.0,4,101,0.9507995652848937,0.9391326106300582,0.9291251384274639,0.933745663100291,0.9636150234741784,0.9463700809508211,08/11/2025 16:18:04
svm,32,3.0,4,101,0.9454743052321067,0.9350692344284626,0.9197120708748615,0.9259558414171011,0.9608372456964005,0.9402746582856312,08/11/2025 16:18:06
svm,33,3.0,4,101,0.9490296537804689,0.9365534262485482,0.9293466223698783,0.9317815581517159,0.9608763693270734,0.9451114958484759,08/11/2025 16:18:10
